s'_(kPa),ea_(%),e
0.00,0.00,11.003
9.74,1.78,10.790
35.00,8.69,9.960
85.00,23.57,8.174
125.00,33.54,6.978
165.00,42.51,5.901
194.99,49.19,5.099
194.99,48.84,5.141
121.91,48.55,5.176
82.93,48.18,5.220
53.65,47.25,5.332
53.61,47.50,5.302
82.89,47.91,5.253
121.91,48.65,5.164
195.09,51.73,4.794
292.65,56.76,4.191
414.44,61.38,3.636
